ID,ECLO
ACCIDENT_39609,3.9258662275401237
ACCIDENT_39610,3.458408464992098
ACCIDENT_39611,4.90556098253378
ACCIDENT_39612,4.406840344300083
ACCIDENT_39613,4.598913241071606
ACCIDENT_39614,4.102896813976039
ACCIDENT_39615,4.13940025543811
ACCIDENT_39616,3.626753451550724
ACCIDENT_39617,4.413630423175788
ACCIDENT_39618,4.482227576184366
ACCIDENT_39619,4.35897652061525
ACCIDENT_39620,3.4469957548448527
ACCIDENT_39621,4.188148669171493
ACCIDENT_39622,3.3657606252152927
ACCIDENT_39623,3.266022329450041
ACCIDENT_39624,4.370830251866188
ACCIDENT_39625,4.5546451280534175
ACCIDENT_39626,4.407995513220312
ACCIDENT_39627,4.242207721124595
ACCIDENT_39628,4.533770806471802
ACCIDENT_39629,3.1537196406158463
ACCIDENT_39630,3.2307734366839806
ACCIDENT_39631,4.138775279872496
ACCIDENT_39632,4.11165957862696
ACCIDENT_39633,4.142233354377295
ACCIDENT_39634,4.407920426737092
ACCIDENT_39635,4.172390628379464
ACCIDENT_39636,4.597441859166876
ACCIDENT_39637,3.322621399882378
ACCIDENT_39638,4.244962200951094
ACCIDENT_39639,4.320059408699441
ACCIDENT_39640,4.174655366128736
ACCIDENT_39641,4.655602846317572
ACCIDENT_39642,3.044578028049439
ACCIDENT_39643,4.377112801053189
ACCIDENT_39644,3.148569788123482
ACCIDENT_39645,3.09092990463098
ACCIDENT_39646,4.434867124186113
ACCIDENT_39647,4.856693736397517
ACCIDENT_39648,5.413696770885752
ACCIDENT_39649,3.181772842541613
ACCIDENT_39650,3.538700255102265
ACCIDENT_39651,3.6952032820973386
ACCIDENT_39652,4.4855156826684475
ACCIDENT_39653,3.894912507670422
ACCIDENT_39654,3.4250004083894137
ACCIDENT_39655,3.8869813047053197
ACCIDENT_39656,3.6230457185230556
ACCIDENT_39657,3.9946944075156114
ACCIDENT_39658,4.285936427036312
ACCIDENT_39659,3.740429311699324
ACCIDENT_39660,4.271860908807202
ACCIDENT_39661,3.894088112218093
ACCIDENT_39662,4.581155360136353
ACCIDENT_39663,4.1765962180679
ACCIDENT_39664,3.753495251205039
ACCIDENT_39665,4.066269579153458
ACCIDENT_39666,3.3595473188122282
ACCIDENT_39667,4.081633349870863
ACCIDENT_39668,3.4332890180716205
ACCIDENT_39669,3.443987011572307
ACCIDENT_39670,4.039593191236956
ACCIDENT_39671,4.379073365154203
ACCIDENT_39672,4.089881515625699
ACCIDENT_39673,3.645987606657668
ACCIDENT_39674,4.276957544555032
ACCIDENT_39675,3.760915464635846
ACCIDENT_39676,4.196767946393238
ACCIDENT_39677,3.4232991379955635
ACCIDENT_39678,3.742954337150286
ACCIDENT_39679,4.191416245639912
ACCIDENT_39680,4.230195173153442
ACCIDENT_39681,3.145469488508586
ACCIDENT_39682,3.977001439735692
ACCIDENT_39683,3.7549813829972827
ACCIDENT_39684,3.5012371988786013
ACCIDENT_39685,4.126335609963709
ACCIDENT_39686,4.13249704720687
ACCIDENT_39687,4.341058958004584
ACCIDENT_39688,3.411048796618964
ACCIDENT_39689,4.216766135776486
ACCIDENT_39690,3.941198673554281
ACCIDENT_39691,3.9647455823797237
ACCIDENT_39692,3.8864204546923182
ACCIDENT_39693,3.7075246975507543
ACCIDENT_39694,4.189998194860433
ACCIDENT_39695,4.053588528636457
ACCIDENT_39696,4.449992210459744
ACCIDENT_39697,3.8841692064382283
ACCIDENT_39698,4.21273769220283
ACCIDENT_39699,3.738931708994995
ACCIDENT_39700,3.9900394620135087
ACCIDENT_39701,4.187347193842486
ACCIDENT_39702,4.035483641607711
ACCIDENT_39703,4.455347569481848
ACCIDENT_39704,4.199060974963908
ACCIDENT_39705,4.086698062765024
ACCIDENT_39706,3.246273177921121
ACCIDENT_39707,4.256029542381236
ACCIDENT_39708,4.203104599791454
ACCIDENT_39709,4.284700612000399
ACCIDENT_39710,3.5787063117662834
ACCIDENT_39711,3.7918980760713747
ACCIDENT_39712,3.8439273701685615
ACCIDENT_39713,4.052456164579534
ACCIDENT_39714,4.399963975949044
ACCIDENT_39715,5.030442260594592
ACCIDENT_39716,4.216374060629446
ACCIDENT_39717,4.426739965429682
ACCIDENT_39718,4.04664416529339
ACCIDENT_39719,4.021025384963822
ACCIDENT_39720,3.94861896840042
ACCIDENT_39721,4.162739589491409
ACCIDENT_39722,4.084334498302383
ACCIDENT_39723,4.14965363477873
ACCIDENT_39724,4.164775086065438
ACCIDENT_39725,4.222573796427329
ACCIDENT_39726,4.544777827630388
ACCIDENT_39727,3.424176209595944
ACCIDENT_39728,3.929478451398521
ACCIDENT_39729,4.158497986320409
ACCIDENT_39730,4.289765878684548
ACCIDENT_39731,4.245796246027947
ACCIDENT_39732,3.9831665830176264
ACCIDENT_39733,3.9780680254280645
ACCIDENT_39734,3.5044717177513087
ACCIDENT_39735,4.218961584845347
ACCIDENT_39736,4.2991352451881495
ACCIDENT_39737,3.5649232752441775
ACCIDENT_39738,4.159312326188445
ACCIDENT_39739,4.10391500517766
ACCIDENT_39740,4.156814612051593
ACCIDENT_39741,3.6661425036147
ACCIDENT_39742,3.9976076842338872
ACCIDENT_39743,3.8985294938202193
ACCIDENT_39744,4.164929159274859
ACCIDENT_39745,4.127621699992016
ACCIDENT_39746,3.3166817945855893
ACCIDENT_39747,3.840465671931228
ACCIDENT_39748,4.083598328246233
ACCIDENT_39749,3.1943585316897414
ACCIDENT_39750,3.7724289321356395
ACCIDENT_39751,3.4678896204229037
ACCIDENT_39752,4.321715651473235
ACCIDENT_39753,4.012362815833798
ACCIDENT_39754,4.1417149153260775
ACCIDENT_39755,3.477187588538512
ACCIDENT_39756,3.9876058857237697
ACCIDENT_39757,4.045584338176581
ACCIDENT_39758,4.516195897474258
ACCIDENT_39759,3.253956155332391
ACCIDENT_39760,4.074314676368051
ACCIDENT_39761,4.07437063231049
ACCIDENT_39762,4.692683700436655
ACCIDENT_39763,4.191009135210831
ACCIDENT_39764,3.597930559868822
ACCIDENT_39765,4.2692537715204315
ACCIDENT_39766,3.7431944045634618
ACCIDENT_39767,3.3887294866517
ACCIDENT_39768,3.698189917815399
ACCIDENT_39769,4.131834987618502
ACCIDENT_39770,4.045790920474083
ACCIDENT_39771,3.9705641906525058
ACCIDENT_39772,4.413846799291886
ACCIDENT_39773,4.0999446597002915
ACCIDENT_39774,4.141793527869238
ACCIDENT_39775,3.492768569805696
ACCIDENT_39776,3.3898124678052497
ACCIDENT_39777,4.161260960154763
ACCIDENT_39778,3.942576679437238
ACCIDENT_39779,4.3955020653233685
ACCIDENT_39780,4.15752051308767
ACCIDENT_39781,3.7884566060975104
ACCIDENT_39782,4.1835664071199625
ACCIDENT_39783,4.313780766126018
ACCIDENT_39784,5.532325078370393
ACCIDENT_39785,4.570002009958888
